song_id,song_title,spotify_id,lastfm_url
95,"Candy Walls",NULL,https://www.last.fm/music/Trust/_/Candy+Walls
96,Nonesuch,NULL,https://www.last.fm/music/Tanlines/_/Nonesuch
97,Brothers,NULL,https://www.last.fm/music/Tanlines/_/Brothers
98,"All of Me",NULL,https://www.last.fm/music/Tanlines/_/All+of+Me
99,"(Where Do I Begin) Love Story (Away Team Mix)",NULL,https://www.last.fm/music/Shirley+Bassey/_/(Where+Do+I+Begin)+Love+Story+(Away+Team+Mix)
100,"An Open And Direct Criticism",NULL,https://www.last.fm/music/Building+the+State/_/An+Open+And+Direct+Criticism
101,"Z-Trip / Set II",NULL,https://www.last.fm/music/Cut+Chemist/_/Z-Trip+%2F+Set+II
102,Belfast,NULL,https://www.last.fm/music/Orbital/_/Belfast
103,Tester,NULL,https://www.last.fm/music/Hinds/_/Tester
104,"Finally Floating",NULL,https://www.last.fm/music/Hinds/_/Finally+Floating
105,"You're Smiling (But I Don't Believe You)",NULL,https://www.last.fm/music/Margaret+Glaspy/_/You%27re+Smiling+(But+I+Don%27t+Believe+You)
106,"Getting Away With It",NULL,https://www.last.fm/music/Electronic/_/Getting+Away+With+It
107,"Ice Cream",NULL,https://www.last.fm/music/New+Young+Pony+Club/_/Ice+Cream
108,"Stupid Things",NULL,https://www.last.fm/music/Girl+Ray/_/Stupid+Things
109,"Keep the Customer Satisfied",NULL,https://www.last.fm/music/Simon+&+Garfunkel/_/Keep+the+Customer+Satisfied
110,"Don't Kiss Me Goodbye",NULL,https://www.last.fm/music/Ultra+Orange/_/Don%27t+Kiss+Me+Goodbye
111,"Some Are Lakes",NULL,https://www.last.fm/music/Land+of+Talk/_/Some+Are+Lakes
112,"When You Were Young",NULL,https://www.last.fm/music/The+Killers/_/When+You+Were+Young
113,"Are You With Me Now?",NULL,https://www.last.fm/music/Cate+le+Bon/_/Are+You+With+Me+Now%3F
114,"Simple And Sure",NULL,https://www.last.fm/music/The+Pains+of+Being+Pure+at+Heart/_/Simple+And+Sure
115,"I'm Going Away",NULL,https://www.last.fm/music/Elizabeth+Cotten/_/I%27m+Going+Away
116,"Cool Slut",NULL,https://www.last.fm/music/Chastity+Belt/_/Cool+Slut
117,Trouble,NULL,https://www.last.fm/music/Girl+Ray/_/Trouble
118,"Pool Party",NULL,https://www.last.fm/music/Julia+Jacklin/_/Pool+Party
119,"New York, I Love You But You're Bringing Me Down",NULL,"https://www.last.fm/music/LCD+Soundsystem/_/New+York,+I+Love+You+But+You%27re+Bringing+Me+Down"
